仰ぎ見る,あおぎみる,"смотреть вверх | уважать кого-то, смотреть с почтением ",仰ぐ,見る,VV,tr,,"2|私は彼を師匠と仰ぎ見ている。|わたしはかれをししょうと仰ぎ見ている。| Я смотрю на него с уважением, как на своего наставника.",,
煽り立てる,あおりたてる,"раздувать ссору, побуждать к чему-то | всколыхнуть",煽る,立てる,VV,tr,1|組合の指導者たちは賃上げ要求をあおりたてた。|くみあいのしどうしゃたちはちんあげようきゅうをあおりたてた。|Представители профсоюза агитировали за повышение зарплат.,,,
上がり込む,あがりこむ,ввалиться как к себе домой,上がる,込む,VV,intr,友達が無遠慮に家に上がり込んだ。|ともだちがぶえんりょうにいえに上がり込んだ。|Друзья вошли как к себе домой,,,
呆れ入る,あきれいる,"Быть ошеломлённым, поражаться, возмущаться",呆れる,入る,VV,intr,裁判官は彼の嘘に呆れ入った。|かれのうそに呆れ入った。|Судья поразился его лжи,,,
呆れ返る,あきれかえる,"Поражаться какому-то факту, возмущаться",呆れる,返る,VV,intr,私は彼女のわがままな態度に呆れ返った。|私はかのじょのわがままなたいどに呆れ返った。|Я поразился ее эгоистическому поведению.,,,
呆れ果てる,あきれはてる,"Поражаться до глубины души, изумлению нет предела",呆れる,果てる,VV,intr,"父親は息子の態度に呆れ果てた。|ちちおやはむすこのたいどに呆れ果てた。|Изумлению отца, относительно того, как ведёт себя сын, не было предела",,,
開け放す,あけはなす,"открывать настежь, распахивать",開ける,放す,VV,tr,私はドアを開け放した。|私はドアを開け放した。|Я распахнул дверь.,,,
開け広げる,あけひろげる,широко распахивать двери или окна,開ける,広げる,VV,tr,"彼はドアを開け広げて、荷物を部屋の中に運んだ。|かれはドアをあけひろげて、にもつをへやのなかにはこんだ。|Он, распахнув настежь дверь, вволок в комнату вещи",,,
明け渡す,あけわたす,"освобождать офис или помещение, сдавать город или крепость",明ける,渡す,VV,tr,王子が町を敵に明け渡した。|おうじがまちをてきに明け渡した。|Принц отдал город врагу,,,
嘲り笑う,あざけりわらう,"высмеивать, насмехаться",嘲る,笑う,VV,tr,彼は、友達に嘲り笑われた。|彼は、ともだちに嘲り笑われた。|Над ним насмехались друзья.,,,
預け入れる,あずけいれる,"класть деньги в банк, депонировать",預ける,入れる,VV,tr,私は貯金を銀行に預け入れた。|私はちょきんをぎんこうに預け入れた。|Я положил деньги в банк на депозит.,,,
遊び暮らす,あそびくらす,"вести праздную жизнь, валять дурака, бездельничать",遊ぶ,暮らす,VV,intr,私は大学２年間を遊び暮らした。|私はだいがく２ねんかんを遊び暮らした。|Я 2 года гонял балду в университете.,,,
遊び戯れる,あそびたわむれる,"играть, резвясь",遊ぶ,戯れる,VV,intr,子供たちが公園で遊び戯れていた。|こどもたちがこうえんで遊び戯れていた。|Дети резвились в парке.,,,
当たり散らす,あたりちらす,"вымещать на всех гнев, набрасываться на всех подряд",当たる,散らす,VV,intr,"彼は友達や家族に当り散らした。|彼はともだちやかぞくに当り散らした。|Он срывал свой гнев и на своих друзьях, и на семье",,,
当て擦る,あてこする,"косвенно намекать, иронизировать, подкалывать, прохаживаться на чей-то счёт, бросать камешки в чей-то огород",当たる,こする,VV,tr,彼は彼女の成績の良さを当てこすった。|彼はかのじょのせいせきのよさを当てこすった。|Он подтрунивает над ее успехами и достижениями.,,,
当て込む,あてこむ,"надеяться на что-то, расчитывать, предвкушать",当たる,込む,VV,tr,彼は今月のボーナスを当て込んでいた。|彼は今月のボーナスを当て込んでいた。|Он рассчитывал на премию в этом месяце,,,
,,,,,,,,,,
当てはまる,あてはまる,"идельно подходить(о ключе, правиле, условиям или одежде) , соотвествовать категории",当たる,はまる,VV,intr,この教訓はすべての人々に当てはまる。|このきょうくんはすべての人々に当てはまる。|Это занятие подходит для любого человека,,,
当てはめる,あてはめる,"подгонять,прилаживать, приспосабливать что-то подо что-то",当たる,はめる,VV,tr,私は公式に数字を当てはめた。|わたしはこうしきにすうじをあてはめた。|Я применил цифры к данной формуле,,,
暴き出す,あばきだす,"разбушеваться, разбуяниться| делать достоянием общественности",暴く,出す,VV,tr,,2|その記者が事件の真相を暴き出した。|そのきしゃがじけんのしんそうを暴き出した。|Журналисты вынесли на публику факты об этом инцинденте,,
暴れ込む,あばれこむ,"врываться на чью-то территорию силой, вламываться",暴れる,込む,VV,intr,犯人がその店に暴れ込んだ。|はんにんがそのみせに暴れ込んだ。|преступник ворвался в заведение.,,,
暴れ回る,あばれまわる,"буйствовать, свирепствовать, беситься",暴れる,回る,VV,intr,暴走族は夜中に街中を暴れ回った。|ぼうそうぞくはよなかに街中を暴れ回った。|Банды байкеров  буянили на улицах города посреди ночи.,,,
浴びせ掛ける,あびせかける,"наброситься на кого-то (напр. с водой, агрессией, вопросами, освистыванием)",浴びせる,掛ける,VV,tr,観客は選手に野次を浴びせ掛けた。|かんきゃくはせんしゅにやじを浴びせ掛けた。|Публика освистала спортсмена,,,
あぶり出す,あぶりだす,"держать над огнём, чтобы прожечь (напр. фото)| расследовать дело, чтобы пролить свет на скрытые факты",あぶる,出す,VV,tr,,2|分析データから問題をあぶり出す|ぶんせきデータからもんだいをあぶりだす| проливать свет на проблему после анализа данных,,
あふれ返る,あふれかえる,"быть до отказа забитым чем-то, кем-то",あふれる,返る,VV,intr,"駅前はタクシー待ちの人たちであふれ返っていた。|えきまえはタクシーまちのひとたちであふれ返っていた。|Напротив станции было полным-полно людей, ожидающих такси",,,
